id,file,line,status,commit_sha,notes
H-13,feature/home/presentation/.../components/DashboardHeader.kt,126,FIXED,pre-session,notification image now wrapped in Box with .clickable { onNotificationClick() } at current line 132
H-14,common/.../inputfields/GeneralSearchBar.kt,45,FIXED,49503db,Phase 2 added optional value: String? param so callers can hoist state; uncontrolled mode preserved via internal rememberSaveable
H-15,feature/home/presentation/.../components/FilterScreen.kt,55,FIXED,pre-session,Clear All onActionClick now resets selectedAmenities/priceRange/dates/guests at current line 77
H-16,feature/home/presentation/.../components/FilterScreen.kt,108,FIXED,pre-session,RangeSlider re-enabled at current line 177
H-17,common/.../texts/TitleText.kt,92,FIXED,49503db,Phase 2 added Modifier.defaultMinSize(48.dp,48.dp) + semantics { role = Role.Button }
H-18,app/.../feature/profile/ProfileScreen.kt,49,DEFERRED,(none),the cited ProfileScreen.kt is not wired into the live nav graph (live profile uses ProfileTabScreen — see L-03); defaults exist on dead code
M-01,app/.../checkout/ConfirmationScreen.kt,56,DEFERRED,(none),BackHandler still calls onDone() while X button still calls onBackClick — semantic mismatch unaddressed
M-02,app/.../reviews/WriteReviewScreen.kt,241,FIXED,pre-session,onReviewSubmitted defaults to {} but DashboardNavigation:1092 supplies navController.popBackStack()
M-03,app/.../collections/CollectionsScreen.kt,311,DEFERRED,(none),collection delete still fires immediately on tap without confirmation
M-04,app/.../tripplanner/TripPlannerScreen.kt,255,DEFERRED,(none),trip delete still fires immediately; ApiResult.Failure -> {} still swallows errors silently
M-05,app/.../tripplanner/TripPlannerScreen.kt,361,DEFERRED,(none),TourCard composable still has no clickable modifier
M-06,app/.../settings/help/SettingsHelpSupportScreen.kt,127,DEFERRED,(none),email Intent still silently caught at current lines 133/155 with only a comment ("// No email client available") — no Toast or fallback UI
M-07,app/.../feature/roommate/RoommateFinderScreen.kt,162,REMOVED,pre-session,RoommateFinder deleted; see C-09
M-08,app/.../about/AboutUsScreen.kt,239,DEFERRED,(none),only the "Open" TextButton is clickable at current line 258; the AboutLinkItem Row is still not tappable as a whole
M-09,app/.../navigation/DashboardNavigation.kt,897,FIXED,pre-session,DestinationListingsScreen now reads destinationId from backStackEntry.arguments at current line 1145
M-10,common/.../inputfields/CustomInputTextField.kt,90,DEFERRED,(none),still uses `var text by remember { mutableStateOf(value) }` — captures initial value only; parent updates ignored after first composition
M-11,common/.../inputfields/CustomPasswordField.kt,71,DEFERRED,(none),same stale-state bug as M-10
M-12,app/.../host/presentation/HostInboxScreen.kt,17,FIXED,pre-session,screen body now just calls messagesContent() and the only nav graph entry uses InboxScreen directly; the dead onThreadClick parameter has no user impact
M-13,app/.../host/presentation/HostListingsScreen.kt,35,FIXED,pre-session,delete now goes through an AlertDialog at current line 171 before calling onDeleteListingClick
M-14,app/.../host/presentation/HostProfileScreen.kt,45,DEFERRED,(none),defaults remain on the composable; need to verify each call site supplies real handlers (parity work; not closed)
M-15,app/.../host/presentation/HostSettingsScreen.kt,36,DEFERRED,(none),defaults remain on the composable; same as M-14
M-16,feature/booking/.../BookingScreen.kt,73,DEFERRED,(none),PaceDreamHeroHeader onNotificationClick still empty placeholder comment at current line 74
M-17,feature/chat/.../ChatListScreen.kt,65,DEFERRED,(none),PaceDreamHeroHeader onNotificationClick still empty placeholder comment at current line 66
L-01,app/.../ui/PaceDreamApp.kt,102,DEFERRED,(none),navigationIconContentDescription = "Open navigation menu" still mislabeled at current line 111; action is popBackStack() — should read "Back"
L-02,app/.../ui/PaceDreamApp.kt,70,FIXED,pre-session,the audited dead callbacks (onNavigateToAddListing/EditListing/Analytics/Withdraw) are no longer present on PaceDreamApp; host self-contains and the parameters were removed
L-03,app/.../profile/presentation/ProfileTabScreen.kt,32,FIXED,pre-session,defaults remain (Compose hygiene) but all 17 callbacks are wired at DashboardNavigation:526-600 — every primary CTA has a real handler
L-04,app/.../bidding/BiddingScreen.kt,216,DEFERRED,(none),onBackClick still defaults to {} — relies on caller to supply
L-05,app/.../splitbooking/SplitBookingScreen.kt,262,DEFERRED,(none),onBackClick / onSplitClick still default to {}
L-06,app/.../blog/BlogScreen.kt,224,DEFERRED,(none),onBackClick / onPostClick / onListingClick still default to {} on BlogScreen + DestinationScreen
L-07,app/.../tripplanner/TripPlannerScreen.kt,207,DEFERRED,(none),onBackClick still defaults to {}
